name,platform,year_of_release,genre,publisher,developer
Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,
Super Mario 64,DS,2004,Platform,Nintendo,
Call of Duty: Ghosts,X360,2013,Shooter,Activision,Infinity Ward
Just Dance 3,Wii,2011,Misc,Ubisoft,Ubisoft
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,Nintendo
Mario Kart 64,N64,1996,Racing,Nintendo,
Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,Bungie
Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,SquareSoft
Halo 4,X360,2012,Shooter,Microsoft Game Studios,343 Industries
Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,Polyphony Digital
Just Dance 2,Wii,2010,Misc,Ubisoft,Ubisoft
Call of Duty: Ghosts,PS3,2013,Shooter,Activision,Infinity Ward
Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,Infinity Ward
Donkey Kong Country,SNES,1994,Platform,Nintendo,
Minecraft,X360,2013,Misc,Microsoft Game Studios,
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,Nintendo
Mario Party DS,DS,2007,Misc,Nintendo,Hudson Soft
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,Bethesda Game Studios
Super Mario Kart,SNES,1992,Racing,Nintendo,
FIFA 16,PS4,2015,Sports,Electronic Arts,EA Sports
Halo 2,XB,2004,Shooter,Microsoft Game Studios,Bungie Software
Wii Party,Wii,2010,Misc,Nintendo,Nd Cube
Mario Party 8,Wii,2007,Misc,Nintendo,Hudson
FIFA Soccer 13,PS3,2012,Action,Electronic Arts,Electronic Arts
GoldenEye 007,N64,1997,Shooter,Nintendo,
Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,
Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,SquareSoft
The Sims 3,PC,2009,Simulation,Electronic Arts,The Sims Studio
Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,
Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,
Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,SquareSoft
Pac-Man,2600,1982,Puzzle,Atari,
Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,Game Freak
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,Rockstar Leeds
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,Sledgehammer Games
The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,
FIFA 17,PS4,2016,Sports,Electronic Arts,"EA Sports, EA Vancouver"
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,
Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,Nintendo EAD Tokyo
Super Mario Bros. 2,NES,1988,Platform,Nintendo,
Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,
Call of Duty: World at War,X360,2008,Shooter,Activision,Treyarch
Battlefield 3,X360,2011,Shooter,Electronic Arts,EA DICE
Need for Speed Underground,PS2,2003,Racing,Electronic Arts,EA Black Box
Just Dance,Wii,2009,Misc,Ubisoft,Ubisoft Paris
Battlefield 3,PS3,2011,Shooter,Electronic Arts,EA DICE
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,Bethesda Game Studios
Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,Namco
The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,Nintendo
Pokemon Sun/Moon,3DS,2016,Role-Playing,Nintendo,
Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,Naughty Dog
Mario Kart 8,WiiU,2014,Racing,Nintendo,Nintendo
Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,HAL Labs
Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,
Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,EA Canada
Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,EA LA
Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,
Just Dance 4,Wii,2012,Misc,Ubisoft,Ubisoft
Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,Epic Games
Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,Naughty Dog
Zumba Fitness,Wii,2010,Sports,505 Games,"Pipeworks Software, Inc."
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,Infinity Ward
Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,Naughty Dog
FIFA 12,PS3,2011,Sports,Electronic Arts,
Big Brain Academy,DS,2005,Misc,Nintendo,Nintendo
The Legend of Zelda,NES,1986,Action,Nintendo,
Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,Rockstar San Diego
FIFA 14,PS3,2013,Sports,Electronic Arts,EA Canada
Assassin's Creed III,PS3,2012,Action,Ubisoft,Ubisoft
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,Retro Studios
Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,Bungie Software
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,Bethesda Game Studios
Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,Game Freak
Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,SquareSoft
Pokémon Crystal Version,GB,2000,Role-Playing,Nintendo,
Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,"Bungie Software, Bungie"
Red Dead Redemption,X360,2010,Action,Take-Two Interactive,Rockstar San Diego
Super Mario Sunshine,GC,2002,Platform,Nintendo,Nintendo
Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,
World of Warcraft,PC,2004,Role-Playing,Activision,Blizzard Entertainment
Driver,PS,1999,Action,GT Interactive,Reflections Interactive
Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,Epic Games
Kinect Sports,X360,2010,Sports,Microsoft Game Studios,Rare Ltd.
Gears of War,X360,2006,Shooter,Microsoft Game Studios,Epic Games
FIFA 15,PS4,2014,Sports,Electronic Arts,EA Sports
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,KCEJ
Sonic the Hedgehog 2,GEN,1992,Platform,Sega,
Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,KCEJ
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,Kojima Productions
Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,Square Enix
The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,Naughty Dog
LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,"SCE/WWS, Media Molecule"
Resident Evil 2,PS,1998,Action,Virgin Interactive,Capcom
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,Level 5
Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,Namco
Destiny,PS4,2014,Shooter,Activision,"Bungie Software, Bungie"
LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,Traveller's Tales
Cooking Mama,DS,2006,Simulation,505 Games,Taito Corporation
Tetris,NES,1988,Puzzle,Nintendo,
Super Smash Bros.,N64,1999,Fighting,Nintendo,
Assassin's Creed II,PS3,2009,Action,Ubisoft,Ubisoft Montreal
Assassin's Creed,X360,2007,Adventure,Ubisoft,Ubisoft Montreal
Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,Turn 10
Super Mario Advance,GBA,2001,Platform,Nintendo,Nintendo
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,Capcom
Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,Rocksteady Studios
Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,Rockstar North
Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,Intelligent Systems
Super Mario World,GBA,2001,Platform,Nintendo,
Pokemon Stadium,N64,1999,Strategy,Nintendo,
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,Traveller's Tales
Call of Duty: World at War,PS3,2008,Shooter,Activision,Treyarch
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,Naughty Dog
Dr. Mario,GB,1989,Puzzle,Nintendo,
Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,Square Enix
Pokemon Pinball,GB,1999,Misc,Nintendo,
Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,SquareSoft
Assassin's Creed III,X360,2012,Action,Ubisoft,Ubisoft
Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,SquareSoft
Donkey Kong 64,N64,1999,Platform,Nintendo,
Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,Sledgehammer Games
Minecraft,PS3,2014,Misc,Sony Computer Entertainment,
Assassin's Creed II,X360,2009,Action,Ubisoft,Ubisoft Montreal
Tomb Raider II,PS,1997,Action,Eidos Interactive,Core Design Ltd.
Madden NFL 2004,PS2,N/A,Sports,Electronic Arts,EA Tiburon
Tomodachi Life,3DS,2013,Simulation,Nintendo,
New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,Nintendo
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,Level 5
Super Mario Bros. 3,GBA,2003,Platform,Nintendo,
Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,Level 5
Otogirisou,SNES,1992,Adventure,ChunSoft,
Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo,
FIFA Soccer 13,X360,2012,Action,Electronic Arts,Electronic Arts
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,
Diablo III,PC,2012,Role-Playing,Activision,Blizzard Entertainment
Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,EA LA
Kirby's Dream Land,GB,1992,Platform,Nintendo,
Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios,
Guitar Hero II,PS2,2006,Misc,RedOctane,Harmonix Music Systems
Fable III,X360,2010,Role-Playing,Microsoft Game Studios,Lionhead Studios
Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega,
Resident Evil 5,PS3,2009,Action,Capcom,Capcom
The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,Nintendo
Super Mario Bros.,GB,1999,Platform,Nintendo,
FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,EA Sports
Resident Evil,PS,1996,Action,Virgin Interactive,Capcom
Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,Rockstar Leeds
Tony Hawk's Pro Skater,PS,1999,Sports,Activision,Neversoft Entertainment
Warzone 2100,PS,1999,Strategy,Eidos Interactive,
Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment,
Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,"Neversoft Entertainment, BudCat"
Link's Crossbow Training,Wii,2007,Shooter,Nintendo,Nintendo
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,Nintendo,
Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,Bethesda Game Studios
Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,"Naughty Dog, SCE/WWS"
Madden NFL 06,PS2,2005,Sports,Electronic Arts,EA Sports
Diddy Kong Racing,N64,1997,Racing,Nintendo,
Monster Hunter Freedom 3,PSP,2010,Role-Playing,Capcom,
Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,Nintendo,
Dr. Mario,NES,1990,Puzzle,Nintendo,
StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,Blizzard Entertainment
Assassin's Creed,PS3,2007,Adventure,Ubisoft,Ubisoft Montreal
God of War III,PS3,2010,Action,Sony Computer Entertainment,SCE Santa Monica
Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,Naughty Dog
LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,TT Fusion
Driver 2,PS,2000,Action,Atari,Reflections Interactive
Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,Rocksteady Studios
The Last of Us,PS4,2014,Action,Sony Computer Entertainment,
The Simpsons: Hit & Run,PS2,2003,Racing,Vivendi Games,
Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,Neversoft Entertainment
The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,Stormfront Studios
Tomb Raider,PS,1996,Action,Eidos Interactive,Core Design Ltd.
Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,Nintendo
Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,Bluepoint Games
The Legend of Zelda: A Link to the Past,SNES,1991,Action,Nintendo,
The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo,Nintendo
Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,Vicarious Visions
Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,Next Level Games
Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios,Turn 10
Mario & Sonic at the Olympic Winter Games,Wii,2009,Sports,Sega,
Madden NFL 2005,PS2,2004,Sports,Electronic Arts,EA Tiburon
Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision,Neversoft Entertainment
Pitfall!,2600,1981,Platform,Activision,
Madden NFL 07,PS2,2006,Sports,Electronic Arts,EA Sports
Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios,343 Industries
Spider-Man: The Movie,PS2,2002,Action,Activision,Treyarch
Dragon Quest VII: Warriors of Eden,PS,2000,Role-Playing,Enix Corporation,
Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,Infinity Ward
God of War,PS2,2005,Action,Sony Computer Entertainment,SCE Santa Monica
Splatoon,WiiU,2015,Shooter,Nintendo,Nintendo
Nintendo Land,WiiU,2012,Misc,Nintendo,Nintendo
Tony Hawk's Pro Skater 3,PS2,2001,Sports,Activision,Neversoft Entertainment
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,Konami Digital Entertainment,Konami
The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Interactive,Bethesda Softworks
Zelda II: The Adventure of Link,NES,1987,Adventure,Nintendo,
Need for Speed: Most Wanted,PS2,2005,Racing,Electronic Arts,EA Canada
Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft,"Ubisoft Paris, Ubisoft Montpellier"
Call of Duty: Advanced Warfare,PS3,2014,Shooter,Activision,High Moon Studios
Resistance: Fall of Man,PS3,2006,Shooter,Sony Computer Entertainment,Insomniac Games
Sonic the Hedgehog,GEN,1991,Platform,Sega,
Kingdom Hearts II,PS2,2005,Role-Playing,Square Enix,Square Enix
The Legend of Zelda: Ocarina of Time,3DS,2011,Action,Nintendo,
Super Mario 3D World,WiiU,2013,Platform,Nintendo,Nintendo
Minecraft,PS4,2014,Misc,Sony Computer Entertainment Europe,
Asteroids,2600,1980,Shooter,Atari,
Call of Duty: Advanced Warfare,X360,2014,Shooter,Activision,High Moon Studios
FIFA 15,PS3,2014,Sports,Electronic Arts,EA Sports
Fable II,X360,2008,Role-Playing,Microsoft Game Studios,Lionhead Studios
Namco Museum,GBA,2001,Misc,Namco Bandai Games,Mass Media
Batman: Arkham Asylum,PS3,2009,Action,Eidos Interactive,Rocksteady Studios
Metal Gear Solid 3: Snake Eater,PS2,2004,Action,Konami Digital Entertainment,KCEJ
Assassin's Creed: Revelations,PS3,2011,Action,Ubisoft,Ubisoft Montreal
Fallout 4,XOne,2015,Role-Playing,Bethesda Softworks,Bethesda Game Studios
FIFA 14,X360,2013,Sports,Electronic Arts,EA Canada
Daxter,PSP,2006,Platform,Sony Computer Entertainment,Ready at Dawn
Warcraft II: Tides of Darkness,PC,1995,Strategy,Activision,
FIFA Soccer 06,PS2,2005,Sports,Electronic Arts,EA Canada
EyeToy Play,PS2,2003,Misc,Sony Computer Entertainment,"SCEE, Zoe Mode"
Gran Turismo 5 Prologue,PS3,2007,Racing,Sony Computer Entertainment,Polyphony Digital
Assassin's Creed: Revelations,X360,2011,Action,Ubisoft,Ubisoft Montreal
FIFA 12,X360,2011,Sports,Electronic Arts,
Teenage Mutant Ninja Turtles,NES,1989,Action,Palcom,
Street Fighter IV,PS3,2009,Fighting,Capcom,Capcom
Excitebike,NES,1984,Racing,Nintendo,
Frogger,PS,1997,Action,Hasbro Interactive,
Madden NFL 2003,PS2,2002,Sports,Electronic Arts,EA Sports
Half-Life,PC,1997,Shooter,Vivendi Games,Valve Software
Super Mario World 2: Yoshi's Island,SNES,1995,Platform,Nintendo,
FIFA Soccer 07,PS2,2006,Sports,Electronic Arts,
Street Fighter II Turbo,SNES,1992,Fighting,Capcom,
World of Warcraft: The Burning Crusade,PC,2007,Role-Playing,Activision,Blizzard Entertainment
Battlefield 1,PS4,2016,Shooter,Electronic Arts,EA DICE
God of War II,PS2,2007,Action,Sony Computer Entertainment,SCE Santa Monica
World Soccer Winning Eleven 9,PS2,2005,Sports,Konami Digital Entertainment,Konami
Fallout: New Vegas,X360,2010,Role-Playing,Bethesda Softworks,Obsidian Entertainment
Forza Motorsport 2,X360,2007,Racing,Microsoft Game Studios,Turn 10
Carnival Games,Wii,2007,Misc,Take-Two Interactive,Cat Daddy Games
Watch Dogs,PS4,2014,Action,Ubisoft,Ubisoft Montreal
Namco Museum Vol.3,PS,1996,Misc,Sony Computer Entertainment,
Tekken Tag Tournament,PS2,2000,Fighting,Namco Bandai Games,Namco
Far Cry 4,PS4,2014,Shooter,Ubisoft,Ubisoft Montreal
Star Fox 64,N64,1997,Shooter,Nintendo,
Golf,NES,1984,Sports,Nintendo,
Namco Museum: 50th Anniversary,PS2,2005,Misc,Namco Bandai Games,Digital Eclipse
Left 4 Dead 2,X360,2009,Shooter,Electronic Arts,Valve Software
The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games,CD Projekt Red Studio
Assassin's Creed: Unity,PS4,2014,Action,Ubisoft,"Ubisoft, Ubisoft Montreal"
Batman: Arkham Knight,PS4,2015,Action,Warner Bros. Interactive Entertainment,Rocksteady Studios
The Legend of Zelda: Skyward Sword,Wii,2011,Action,Nintendo,Nintendo
Fallout 3,PS3,2008,Role-Playing,Bethesda Softworks,Bethesda Game Studios
Professor Layton and the Diabolical Box,DS,2007,Puzzle,Nintendo,Level 5
Donkey Kong Land,GB,1994,Platform,Nintendo,
EA Sports Active,Wii,2009,Sports,Electronic Arts,EA Canada
Tony Hawk's Underground,PS2,2003,Sports,Activision,Neversoft Entertainment
Monster Hunter 4 Ultimate,3DS,2014,Role-Playing,Nintendo,Capcom
The Elder Scrolls V: Skyrim,PC,2011,Role-Playing,Bethesda Softworks,Bethesda Game Studios
NBA 2K16,PS4,2015,Sports,Take-Two Interactive,Visual Concepts
Tekken 5,PS2,2005,Fighting,Namco Bandai Games,Namco
Dragon Warrior III,NES,1988,Role-Playing,Enix Corporation,
MotorStorm,PS3,2006,Racing,Sony Computer Entertainment,Evolution Studios
Nintendogs + cats,3DS,2011,Simulation,Nintendo,
World Soccer Winning Eleven 8 International,PS2,2004,Sports,Konami Digital Entertainment,KCET
Sports Champions,PS3,2010,Sports,Sony Computer Entertainment,"SCEA, Zindagi Games"
Namco Museum Vol.1,PS,1995,Misc,Sony Computer Entertainment,
The Legend of Zelda: Link's Awakening,GB,1992,Action,Nintendo,
Call of Duty: Ghosts,PS4,2013,Shooter,Activision,Infinity Ward
Flash Focus: Vision Training in Minutes a Day,DS,2007,Misc,Nintendo,"Nintendo, Namco Bandai Games"
Tom Clancy's The Division,PS4,2016,Shooter,Ubisoft,Massive Entertainment
Big Brain Academy: Wii Degree,Wii,2007,Misc,Nintendo,Nintendo
Resident Evil Director's Cut,PS,1996,Action,Virgin Interactive,
Mario & Luigi: Bowser's Inside Story,DS,2009,Role-Playing,Nintendo,
LEGO Indiana Jones: The Original Adventures,X360,2008,Action,Activision,Traveller's Tales
The Sims: Unleashed,PC,2002,Simulation,Electronic Arts,Maxis
Ratchet & Clank: Size Matters,PSP,2007,Platform,Sony Computer Entertainment,
Harry Potter and the Sorcerer's Stone,PS,2001,Action,Electronic Arts,Argonaut Games
Mario & Sonic at the London 2012 Olympic Games,Wii,2011,Sports,Sega,
Resident Evil 3: Nemesis,PS,1999,Action,Eidos Interactive,
Super Paper Mario,Wii,2007,Platform,Nintendo,Intelligent Systems
Spyro: Year of the Dragon,PS,2000,Platform,Sony Computer Entertainment,Insomniac Games
Assassin's Creed IV: Black Flag,PS3,2013,Action,Ubisoft,Ubisoft
FIFA Soccer 2005,PS2,2004,Sports,Electronic Arts,EA Canada
Pokémon Trading Card Game,GB,1998,Strategy,Nintendo,
Friend Collection,DS,2009,Misc,Nintendo,
Tony Hawk's Pro Skater 4,PS2,2002,Sports,Activision,Neversoft Entertainment
Star Wars Battlefront (2015),XOne,2015,Shooter,Electronic Arts,
MySims,DS,2007,Simulation,Electronic Arts,TOSE
Midnight Club 3: DUB Edition,PSP,2005,Racing,Take-Two Interactive,Rockstar Leeds
Banjo-Kazooie,N64,1998,Platform,Nintendo,
SOCOM: U.S. Navy SEALs,PS2,2002,Shooter,Sony Computer Entertainment,Zipper Interactive
Jak and Daxter: The Precursor Legacy,PS2,2001,Platform,Sony Computer Entertainment,Naughty Dog
Pokemon Snap,N64,1999,Simulation,Nintendo,
Pro Evolution Soccer 2008,PS2,2007,Sports,Konami Digital Entertainment,Konami
Resident Evil 4,PS2,2005,Action,Capcom,Capcom
Guitar Hero: World Tour,Wii,2008,Misc,Activision,Vicarious Visions
FIFA Soccer 10,PS3,2009,Sports,Electronic Arts,EA Sports
Star Wars: Battlefront,PS2,2004,Shooter,LucasArts,Pandemic Studios
Doom II: Hell on Earth,PC,1994,Shooter,Virgin Interactive,
The Simpsons: Road Rage,PS2,2001,Racing,Electronic Arts,Fox Interactive
Luigi's Mansion,GC,2001,Action,Nintendo,Nintendo
Battlefield 4,PS4,2013,Shooter,Electronic Arts,EA DICE
Star Wars: Battlefront II,PS2,2005,Shooter,LucasArts,Pandemic Studios
Just Dance 2014,Wii,2013,Misc,Ubisoft,Ubisoft
Cooking Mama 2: Dinner With Friends,DS,2007,Simulation,505 Games,Office Create
WWF SmackDown!,PS,2000,Fighting,THQ,
Croc: Legend of the Gobbos,PS,1997,Platform,Fox Interactive,
Grand Theft Auto: Liberty City Stories,PS2,2006,Action,Take-Two Interactive,Rockstar Leeds
The Getaway,PS2,2002,Action,Sony Computer Entertainment,Team Soho
Tomb Raider III: Adventures of Lara Croft,PS,1997,Action,Eidos Interactive,
James Bond 007: Agent Under Fire,PS2,2001,Shooter,Electronic Arts,EA Redwood Shores
LEGO Star Wars: The Video Game,PS2,2005,Action,Eidos Interactive,
Rugrats in Paris: The Movie,PS,2000,Action,THQ,
FIFA Soccer 11,X360,2010,Sports,Electronic Arts,EA Sports
Spyro 2: Ripto's Rage!,PS,1999,Platform,Sony Computer Entertainment,
Left 4 Dead,X360,2008,Shooter,Electronic Arts,Certain Affinity
Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,1996,Platform,Nintendo,
Assassin's Creed: Unity,XOne,2014,Action,Ubisoft,"Ubisoft, Ubisoft Montreal"
Kung Fu,NES,1985,Action,Nintendo,
Resident Evil 5,X360,2009,Action,Capcom,Capcom
Assassin's Creed: Brotherhood,X360,2010,Action,Ubisoft,Ubisoft Montreal
