name,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count,rating
Call of Duty: Ghosts,6.73,2.56,0.04,0.91,10.25,73,29,2.6,2117,M
Just Dance 3,5.95,3.11,0.0,1.06,10.12,74,15,7.8,16,E10+
New Super Mario Bros. 2,3.66,3.14,2.47,0.63,9.9,78,70,7.2,424,E
Mario Kart 64,5.55,1.94,2.23,0.15,9.87,,,,,
Halo: Reach,7.04,1.95,0.08,0.79,9.86,91,99,7.9,2045,M
Final Fantasy VII,3.01,2.47,3.28,0.96,9.72,92,20,9.2,1282,T
Halo 4,6.65,2.28,0.04,0.74,9.71,87,87,7,3260,M
Gran Turismo 2,3.88,3.42,1.69,0.5,9.49,93,23,9,135,T
Just Dance 2,5.8,2.85,0.01,0.78,9.44,74,24,7.3,24,E10+
Call of Duty: Ghosts,4.1,3.63,0.38,1.25,9.36,71,10,2.6,1047,M
Call of Duty 4: Modern Warfare,5.93,2.36,0.13,0.9,9.31,94,70,8.4,1320,M
Donkey Kong Country,4.36,1.71,3.0,0.23,9.3,,,,,
Minecraft,5.7,2.65,0.02,0.81,9.18,,,,,
Animal Crossing: New Leaf,2.03,2.36,4.39,0.39,9.16,88,70,8.7,626,E
Mario Party DS,4.4,1.85,1.98,0.68,8.91,72,27,7.8,85,E
The Elder Scrolls V: Skyrim,5.05,2.79,0.1,0.85,8.79,96,89,8.4,3589,M
Super Mario Kart,3.54,1.24,3.81,0.18,8.76,,,,,
FIFA 16,1.12,6.12,0.06,1.28,8.57,82,42,4.3,896,E
Halo 2,6.82,1.53,0.05,0.08,8.49,95,91,8.2,1218,M
Wii Party,1.75,3.47,2.49,0.67,8.38,68,42,7.4,54,E
Mario Party 8,3.74,2.24,1.58,0.7,8.27,62,41,6.3,190,E
FIFA Soccer 13,1.06,5.01,0.13,1.97,8.16,88,37,6.6,348,E
GoldenEye 007,5.8,2.01,0.13,0.15,8.09,,,,,
Pokemon Black 2/Pokemon White 2,2.79,1.72,3.14,0.41,8.07,,,,,
Final Fantasy X,2.91,2.07,2.73,0.33,8.05,92,53,8.7,1056,T
The Sims 3,0.99,6.42,0.0,0.6,8.01,86,75,7.6,886,T
Mario & Sonic at the Olympic Games,2.57,3.86,0.66,0.91,7.99,,,,,
Star Wars Battlefront (2015),2.99,3.49,0.22,1.28,7.98,,,,,
Final Fantasy VIII,2.28,1.72,3.63,0.23,7.86,90,24,8.6,644,T
Pac-Man,7.28,0.45,0.0,0.08,7.81,,,,,
Pokémon Platinum Version,2.76,1.72,2.69,0.54,7.72,83,46,8.5,203,E
Grand Theft Auto: Liberty City Stories,2.9,2.81,0.24,1.73,7.69,88,65,7.6,451,M
Call of Duty: Advanced Warfare,2.81,3.48,0.14,1.23,7.66,83,39,5.7,1443,M
The Legend of Zelda: Ocarina of Time,4.1,1.89,1.45,0.16,7.6,,,,,
FIFA 17,0.66,5.75,0.08,1.11,7.59,85,41,5,398,E
Crash Bandicoot 2: Cortex Strikes Back,3.78,2.17,1.31,0.31,7.58,,,,,
Super Smash Bros. for Wii U and 3DS,3.27,1.37,2.43,0.48,7.55,,,,,
Super Mario Galaxy 2,3.56,2.35,0.98,0.62,7.51,97,87,9.1,1854,E
Super Mario Bros. 2,5.39,1.18,0.7,0.19,7.46,,,,,
Call of Duty: Black Ops 3,4.59,2.11,0.01,0.68,7.39,,,,,
Call of Duty: World at War,4.81,1.88,0.0,0.69,7.38,84,84,7.6,580,M
Battlefield 3,4.46,2.11,0.06,0.69,7.32,84,57,7.4,2142,M
Need for Speed Underground,3.27,2.83,0.08,1.02,7.2,85,33,8.6,171,E
Just Dance,3.48,2.99,0.0,0.73,7.2,49,21,8,110,E10+
Battlefield 3,2.85,2.89,0.35,1.08,7.17,85,38,7.5,1761,M
Fallout 4,2.53,3.27,0.24,1.13,7.16,87,58,6.5,4228,M
Tekken 3,3.27,2.22,1.4,0.29,7.16,96,15,9.1,367,T
The Legend of Zelda: Twilight Princess,3.74,2.14,0.6,0.68,7.15,95,73,9,1658,T
Pokemon Sun/Moon,2.98,1.45,2.26,0.45,7.14,,,,,
Crash Bandicoot 3: Warped,3.68,1.75,1.42,0.28,7.13,91,12,8.9,432,E
Mario Kart 8,3.15,2.15,1.28,0.51,7.09,88,82,9.1,1599,E
Super Smash Bros. Melee,4.41,1.04,1.39,0.22,7.07,92,38,9.1,568,T
Mario Kart: Double Dash!!,4.12,1.77,0.87,0.19,6.95,,,,,
Need for Speed Underground 2,2.71,3.02,0.08,1.09,6.9,82,39,8.6,132,E
Medal of Honor: Frontline,2.93,2.75,0.17,0.99,6.83,88,29,8.5,135,T
Crash Bandicoot,3.23,2.35,0.94,0.3,6.82,,,,,
Just Dance 4,4.05,2.16,0.0,0.55,6.76,74,10,7.3,28,E10+
Gears of War 2,4.15,1.9,0.06,0.64,6.75,93,90,7.7,2739,M
Uncharted 3: Drake's Deception,2.77,2.75,0.19,1.03,6.74,92,97,8.3,3712,T
Zumba Fitness,3.45,2.59,0.0,0.66,6.71,,,tbd,,E
Call of Duty 4: Modern Warfare,3.11,2.26,0.28,1.03,6.68,94,44,8.4,993,M
Uncharted 2: Among Thieves,3.27,2.2,0.21,0.98,6.66,96,105,8.8,5187,T
FIFA 12,0.84,4.3,0.11,1.39,6.65,,,,,
Big Brain Academy,1.66,2.75,1.6,0.62,6.62,74,45,7.4,27,E
The Legend of Zelda,3.74,0.93,1.69,0.14,6.51,,,,,
Red Dead Redemption,2.79,2.53,0.17,0.99,6.49,95,73,8.8,2456,M
FIFA 14,0.78,4.24,0.07,1.37,6.47,86,37,4.3,576,E
Assassin's Creed III,2.64,2.52,0.16,1.12,6.45,85,41,6.9,1307,M
Donkey Kong Country Returns,3.17,1.79,1.03,0.46,6.44,87,77,8.6,368,E
Halo: Combat Evolved,4.98,1.3,0.08,0.07,6.43,97,68,8.6,1283,M
The Elder Scrolls V: Skyrim,2.55,2.6,0.25,1.0,6.41,92,16,6.4,2527,M
Pokémon Emerald Version,2.57,1.58,2.06,0.21,6.41,76,28,9,222,E
Kingdom Hearts,3.64,1.2,1.49,0.07,6.4,85,46,8.8,597,E
Pokémon Crystal Version,2.55,1.56,1.29,0.99,6.39,,,,,
Halo 3: ODST,4.34,1.34,0.06,0.61,6.34,83,94,7.1,1163,M
Red Dead Redemption,3.7,1.95,0.09,0.58,6.32,95,96,9,2316,M
Super Mario Sunshine,4.01,1.26,0.87,0.17,6.31,92,61,8.6,439,E
Street Fighter II: The World Warrior,2.47,0.83,2.87,0.12,6.3,,,,,
World of Warcraft,0.08,6.21,0.0,0.0,6.29,93,57,7.3,2182,T
Driver,3.11,2.8,0.02,0.33,6.27,87,22,8.1,78,T
Gears of War 3,4.05,1.59,0.07,0.5,6.21,91,96,7.8,1504,M
Kinect Sports,3.92,1.73,0.03,0.51,6.19,73,51,7.4,95,E10+
Gears of War,3.54,1.88,0.07,0.6,6.09,94,88,8.3,2295,M
FIFA 15,0.8,4.33,0.05,0.9,6.08,82,47,5.7,988,E
Metal Gear Solid 2: Sons of Liberty,2.45,2.01,0.87,0.72,6.05,96,42,8.7,1026,M
Sonic the Hedgehog 2,4.47,1.2,0.16,0.19,6.03,,,,,
Metal Gear Solid,3.18,1.83,0.78,0.24,6.03,94,20,9.4,918,M
Metal Gear Solid 4: Guns of the Patriots,2.63,1.71,0.83,0.82,5.99,94,82,8.7,3558,M
Final Fantasy XII,1.88,0.0,2.33,1.74,5.95,92,64,7.6,972,T
The Last of Us,2.41,2.18,0.28,0.99,5.87,95,98,9.1,8003,M
LittleBigPlanet,2.8,1.98,0.17,0.87,5.82,95,85,6.8,5311,E
Resident Evil 2,1.88,1.47,2.02,0.45,5.82,89,13,9.2,364,M
Dragon Quest IX: Sentinels of the Starry Skies,0.63,0.67,4.35,0.15,5.78,87,65,8.8,197,E10+
Tekken 2,2.26,1.89,1.36,0.23,5.74,89,8,8.9,102,T
Destiny,2.49,2.07,0.16,0.92,5.64,76,95,6.1,5380,T
LEGO Star Wars: The Complete Saga,3.57,1.55,0.0,0.51,5.64,80,17,8.9,62,E10+
Cooking Mama,3.07,1.91,0.07,0.57,5.63,67,35,7.2,21,E
Tetris,2.97,0.69,1.81,0.11,5.58,,,,,
Super Smash Bros.,2.95,0.6,1.97,0.04,5.55,,,,,
Assassin's Creed II,2.54,1.93,0.21,0.86,5.55,91,70,8.6,1202,M
Assassin's Creed,3.28,1.64,0.07,0.56,5.54,81,77,7.7,1074,M
Forza Motorsport 3,2.99,1.9,0.1,0.5,5.49,92,90,8,516,E
Super Mario Advance,3.14,1.24,0.91,0.2,5.49,84,19,7.8,41,E
Monster Hunter Freedom Unite,0.47,0.55,4.13,0.34,5.48,81,48,8.7,124,T
Batman: Arkham City,2.71,1.85,0.11,0.81,5.48,96,42,8.6,2162,T
Grand Theft Auto V,2.81,2.19,0.0,0.47,5.48,97,14,7.9,764,M
Mario Kart: Super Circuit,2.62,1.64,0.99,0.23,5.47,93,24,8.3,108,E
Super Mario World,3.21,1.11,0.95,0.2,5.46,,,,,
Pokemon Stadium,3.18,1.24,0.94,0.09,5.45,,,,,
Crash Bandicoot: The Wrath of Cortex,2.07,2.29,0.24,0.82,5.42,66,22,7.1,156,E
Call of Duty: World at War,2.73,1.83,0.0,0.83,5.39,85,45,7.6,409,M
Uncharted 4: A Thief's End,1.85,2.5,0.19,0.85,5.38,93,113,7.9,7064,T
Dr. Mario,2.18,0.96,2.0,0.2,5.34,,,,,
Final Fantasy XIII,1.74,1.21,1.87,0.51,5.33,83,83,7.3,2483,T
Pokemon Pinball,3.02,1.12,1.01,0.16,5.31,,,,,
Final Fantasy IX,1.62,0.77,2.78,0.14,5.3,94,22,8.9,779,T
Assassin's Creed III,3.13,1.69,0.03,0.44,5.29,84,61,6.7,1196,M
Final Fantasy X-2,1.92,1.08,2.11,0.17,5.29,85,45,6.6,400,T
Donkey Kong 64,3.33,0.79,1.09,0.06,5.27,,,,,
Call of Duty: Advanced Warfare,3.22,1.55,0.01,0.48,5.27,81,53,5.4,898,M
Minecraft,2.03,2.37,0.0,0.87,5.26,,,,,
Assassin's Creed II,3.11,1.55,0.08,0.51,5.26,90,82,8.8,1305,M
Tomb Raider II,2.3,2.46,0.2,0.28,5.24,85,13,,,T
Madden NFL 2004,4.26,0.26,0.01,0.71,5.23,94,29,8.5,140,E
Tomodachi Life,0.97,2.11,1.9,0.24,5.23,,,,,
New Super Mario Bros. U,2.3,1.34,1.27,0.32,5.22,84,70,8.1,733,E
Dragon Quest VIII: Journey of the Cursed King,0.65,0.75,3.61,0.2,5.21,89,63,8.8,245,T
Super Mario Bros. 3,2.93,1.25,0.83,0.2,5.2,,,,,
Professor Layton and the Curious Village,1.21,2.43,1.03,0.52,5.19,85,72,8.6,147,E
Otogirisou,0.0,0.0,0.16,0.0,0.16,,,,,
Super Mario Land 3: Wario Land,2.49,0.98,1.57,0.15,5.19,,,,,
FIFA Soccer 13,1.09,3.47,0.03,0.57,5.16,90,48,6.1,403,E
Donkey Kong Country 2: Diddy's Kong Quest,2.1,0.74,2.2,0.11,5.15,,,,,
Diablo III,2.44,2.16,0.0,0.54,5.14,88,86,4,9629,M
Medal of Honor: Rising Sun,1.98,2.23,0.13,0.8,5.13,68,30,7.6,100,T
Kirby's Dream Land,2.71,0.61,1.7,0.11,5.13,,,,,
Microsoft Flight Simulator,3.22,1.69,0.0,0.2,5.12,,,,,
Guitar Hero II,3.81,0.63,0.0,0.68,5.12,92,69,8.5,112,T
Fable III,3.59,1.08,0.05,0.38,5.1,80,88,6.5,604,M
Mario & Sonic at the Olympic Games,1.63,2.45,0.44,0.57,5.09,,,,,
Resident Evil 5,1.96,1.41,1.08,0.64,5.09,84,76,7.5,667,M
The Legend of Zelda: Phantom Hourglass,1.85,1.8,0.95,0.48,5.08,90,57,8,416,E
Super Mario Bros.,3.4,1.3,0.15,0.22,5.07,,,,,
FIFA Soccer 11,0.61,3.28,0.06,1.12,5.07,89,51,8,233,E
Resident Evil,2.05,1.16,1.11,0.73,5.05,91,8,9,266,M
Grand Theft Auto: Vice City Stories,1.7,1.99,0.16,1.18,5.03,86,50,8,150,M
Tony Hawk's Pro Skater,3.42,1.38,0.02,0.2,5.02,92,18,9.2,69,T
Warzone 2100,2.79,1.89,0.0,0.33,5.01,,,,,
Spyro the Dragon,3.36,1.36,0.07,0.21,5.0,,,,,
Guitar Hero III: Legends of Rock,3.49,0.01,0.01,1.48,4.98,82,24,8.2,46,T
Link's Crossbow Training,3.05,1.17,0.29,0.46,4.98,68,34,7.1,47,T
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,1.83,1.19,1.54,0.37,4.93,,,,,
Fallout 3,3.4,0.99,0.09,0.45,4.93,93,84,8.5,1655,M
Uncharted: Drake's Fortune,2.31,1.72,0.12,0.77,4.92,88,66,8.1,2306,T
Madden NFL 06,3.98,0.26,0.01,0.66,4.91,88,29,8,121,E
Diddy Kong Racing,2.91,0.99,0.89,0.1,4.88,,,,,
Monster Hunter Freedom 3,0.0,0.0,4.87,0.0,4.87,,,,,
Super Smash Bros. for Wii U and 3DS,2.6,1.08,0.81,0.38,4.87,,,,,
Dr. Mario,2.62,0.6,1.52,0.1,4.85,,,,,
StarCraft II: Wings of Liberty,2.57,1.68,0.0,0.58,4.84,93,82,8.2,3052,T
Assassin's Creed,1.91,2.0,0.09,0.82,4.82,81,40,7.3,769,M
God of War III,2.74,1.33,0.12,0.61,4.8,92,101,8.7,2633,M
Crash Team Racing,2.57,1.57,0.44,0.21,4.79,88,20,9,233,E
LEGO Star Wars: The Complete Saga,2.83,1.48,0.0,0.45,4.76,80,9,5.4,46,E
Driver 2,2.36,2.1,0.02,0.25,4.73,62,14,7.7,92,T
Batman: Arkham City,2.99,1.27,0.04,0.42,4.73,94,87,8.7,1472,T
The Last of Us,1.88,2.0,0.07,0.77,4.71,,,,,
The Simpsons: Hit & Run,1.73,2.19,0.0,0.79,4.7,,,,,
Tony Hawk's Pro Skater 2,3.05,1.41,0.02,0.2,4.68,98,19,7.7,299,T
The Lord of the Rings: The Two Towers,1.94,1.95,0.08,0.7,4.67,82,32,8.2,78,T
Tomb Raider,2.29,1.97,0.13,0.24,4.63,91,13,8.6,147,T
Animal Crossing: City Folk,1.82,1.12,1.32,0.36,4.62,73,50,7.6,119,E
Uncharted: The Nathan Drake Collection,2.07,1.71,0.08,0.76,4.62,86,78,8.1,1264,T
The Legend of Zelda: A Link to the Past,2.42,0.91,1.15,0.13,4.61,,,,,
The Legend of Zelda: The Wind Waker,2.6,0.99,0.89,0.13,4.6,96,80,8.9,968,E
Guitar Hero III: Legends of Rock,3.04,1.11,0.0,0.43,4.6,86,36,8.4,87,T
Luigi's Mansion: Dark Moon,1.8,1.39,1.11,0.29,4.59,86,74,8.4,458,E
Forza Motorsport 4,2.08,1.97,0.06,0.46,4.57,91,83,8.2,617,E
Mario & Sonic at the Olympic Winter Games,1.87,1.96,0.22,0.48,4.53,,,,,
Madden NFL 2005,4.18,0.26,0.01,0.08,4.53,91,30,7.9,78,E
Guitar Hero III: Legends of Rock,3.19,0.91,0.01,0.42,4.53,85,69,7.9,165,T
Pitfall!,4.21,0.24,0.0,0.05,4.5,,,,,
Madden NFL 07,3.63,0.24,0.01,0.61,4.49,84,29,8.2,39,E
Halo 5: Guardians,2.78,1.27,0.03,0.41,4.48,84,101,6.4,2438,T
Spider-Man: The Movie,2.71,1.51,0.03,0.23,4.48,76,25,7.9,41,E
Dragon Quest VII: Warriors of Eden,0.2,0.14,4.1,0.02,4.47,,,,,
Call of Duty: Infinite Warfare,1.61,2.0,0.15,0.71,4.46,77,82,3.4,1129,M
God of War,2.71,1.29,0.02,0.43,4.45,94,75,8.9,997,M
Splatoon,1.54,1.18,1.46,0.26,4.43,81,88,8.5,1184,E10+
Nintendo Land,2.52,1.11,0.46,0.33,4.42,77,61,7.9,471,E10+
Tony Hawk's Pro Skater 3,2.66,1.29,0.01,0.46,4.41,97,34,7.5,298,T
Winning Eleven: Pro Evolution Soccer 2007,0.1,2.39,1.05,0.86,4.39,86,19,8.9,33,E
The Elder Scrolls IV: Oblivion,2.82,1.03,0.13,0.4,4.38,94,90,8.7,1109,M
Zelda II: The Adventure of Link,2.19,0.5,1.61,0.08,4.38,,,,,
Need for Speed: Most Wanted,2.03,1.79,0.08,0.47,4.37,82,36,9.1,137,T
Michael Jackson: The Experience,2.64,1.33,0.01,0.39,4.36,56,37,8.3,31,E10+
Call of Duty: Advanced Warfare,1.56,1.93,0.19,0.68,4.36,,,4.8,207,M
Resistance: Fall of Man,1.74,1.72,0.14,0.75,4.34,86,70,8.1,715,M
Sonic the Hedgehog,3.03,0.91,0.26,0.13,4.34,,,,,
Kingdom Hearts II,2.2,0.58,1.38,0.17,4.33,87,64,9,766,E10+
The Legend of Zelda: Ocarina of Time,2.09,1.31,0.62,0.31,4.33,,,,,
Super Mario 3D World,2.11,1.16,0.73,0.32,4.32,93,83,9,1607,E
Minecraft,1.48,2.02,0.14,0.68,4.32,,,,,
Asteroids,4.0,0.26,0.0,0.05,4.31,,,,,
Call of Duty: Advanced Warfare,2.77,1.11,0.0,0.4,4.29,,,4.9,221,M
FIFA 15,0.58,3.02,0.04,0.64,4.28,,,4.5,109,E
Fable II,2.51,1.24,0.11,0.41,4.27,89,95,6.5,2423,M
Namco Museum,3.0,1.11,0.05,0.07,4.24,79,10,7.3,6,E
Batman: Arkham Asylum,2.24,1.31,0.07,0.61,4.23,91,70,8.9,1122,T
Metal Gear Solid 3: Snake Eater,1.46,0.0,0.83,1.93,4.23,91,68,9.3,955,M
Assassin's Creed: Revelations,1.41,2.01,0.1,0.7,4.22,80,39,7.5,613,M
Fallout 4,2.51,1.32,0.01,0.38,4.22,88,39,6.2,1749,M
FIFA 14,0.92,2.89,0.01,0.4,4.22,84,41,4.2,435,E
Daxter,2.45,1.01,0.0,0.75,4.21,85,59,8.7,109,E10+
Warcraft II: Tides of Darkness,1.7,2.27,0.0,0.23,4.21,,,,,
FIFA Soccer 06,0.78,2.55,0.04,0.84,4.21,80,32,7.8,47,E
EyeToy Play,0.88,2.3,0.2,0.83,4.2,80,32,7.5,22,E
Gran Turismo 5 Prologue,1.28,1.82,0.57,0.52,4.19,80,67,7.1,120,E
Assassin's Creed: Revelations,2.25,1.47,0.04,0.43,4.19,80,77,7.2,564,M
FIFA 12,0.84,2.78,0.02,0.53,4.18,,,,,
Teenage Mutant Ninja Turtles,3.38,0.44,0.31,0.04,4.17,,,,,
Street Fighter IV,2.03,1.04,0.58,0.52,4.16,94,61,7.3,330,T
Excitebike,2.04,0.48,1.57,0.07,4.16,,,,,
Frogger,3.79,0.27,0.0,0.11,4.16,,,,,
Madden NFL 2003,3.36,0.21,0.01,0.56,4.14,95,25,7.7,65,E
Half-Life,4.03,0.0,0.09,0.0,4.12,96,24,9.1,3161,M
Super Mario World 2: Yoshi's Island,1.65,0.61,1.76,0.09,4.12,,,,,
FIFA Soccer 07,0.71,2.48,0.03,0.89,4.11,,,,,
Street Fighter II Turbo,1.42,0.51,2.1,0.07,4.1,,,,,
World of Warcraft: The Burning Crusade,2.57,1.52,0.0,0.0,4.09,91,46,7.9,785,T
Battlefield 1,1.1,2.15,0.21,0.61,4.08,88,31,8.4,809,M
God of War II,2.32,0.04,0.04,1.67,4.07,93,70,8.9,709,M
World Soccer Winning Eleven 9,0.12,2.26,0.9,0.77,4.06,,,8.2,23,E
Fallout: New Vegas,2.66,1.03,0.04,0.33,4.05,84,81,8.1,769,M
Forza Motorsport 2,2.35,1.27,0.03,0.41,4.05,90,66,8.3,381,E
Carnival Games,2.12,1.47,0.05,0.42,4.05,56,27,6,44,E
Watch Dogs,1.4,1.9,0.11,0.64,4.05,80,80,6.3,2996,M
Namco Museum Vol.3,2.28,1.55,0.16,0.06,4.05,,,,,
Tekken Tag Tournament,1.68,1.51,0.51,0.35,4.05,85,25,8.5,117,T
Far Cry 4,1.13,2.18,0.1,0.63,4.04,85,83,7.7,1653,M
Star Fox 64,2.78,0.58,0.64,0.04,4.03,,,,,
Golf,1.22,0.28,2.46,0.04,4.01,,,,,
Namco Museum: 50th Anniversary,2.08,1.35,0.0,0.54,3.98,61,21,tbd,,E10+
Left 4 Dead 2,2.67,0.87,0.05,0.38,3.97,89,76,8.6,681,M
The Witcher 3: Wild Hunt,1.02,2.13,0.23,0.59,3.97,92,79,9.2,10179,M
Assassin's Creed: Unity,1.19,2.07,0.08,0.62,3.96,70,40,4.9,2050,M
Batman: Arkham Knight,1.53,1.69,0.1,0.64,3.95,87,89,7.6,2679,M
The Legend of Zelda: Skyward Sword,2.03,1.16,0.37,0.38,3.95,93,81,8,1958,E10+
Fallout 3,2.15,1.13,0.07,0.59,3.94,90,57,8,910,M
Professor Layton and the Diabolical Box,0.9,1.76,0.92,0.37,3.94,84,65,8.8,72,E10+
Donkey Kong Land,1.97,0.76,1.07,0.11,3.91,,,,,
EA Sports Active,2.09,1.35,0.06,0.4,3.9,81,27,8.7,39,E
Tony Hawk's Underground,2.29,1.17,0.01,0.42,3.9,90,38,8.7,121,T
Monster Hunter 4 Ultimate,0.68,0.48,2.62,0.11,3.89,86,80,8.7,348,T
The Elder Scrolls V: Skyrim,1.16,2.12,0.0,0.6,3.88,94,32,8.1,9073,M
NBA 2K16,2.49,0.66,0.03,0.69,3.88,87,51,6.7,364,E10+
Tekken 5,0.93,1.94,0.31,0.7,3.87,88,62,8.6,229,T
Dragon Warrior III,0.1,0.0,3.77,0.0,3.87,,,,,
MotorStorm,1.53,1.6,0.06,0.67,3.87,84,9,7.4,220,T
Nintendogs + cats,1.44,1.41,0.73,0.27,3.85,,,,,
World Soccer Winning Eleven 8 International,0.16,1.89,1.12,0.68,3.85,91,26,9.1,38,E
Sports Champions,2.13,1.12,0.1,0.5,3.84,76,64,7.9,104,E10+
Namco Museum Vol.1,2.12,1.44,0.22,0.06,3.84,,,,,
The Legend of Zelda: Link's Awakening,2.21,0.96,0.54,0.13,3.83,,,,,
Call of Duty: Ghosts,1.78,1.43,0.05,0.57,3.83,78,49,3.7,1564,M
Flash Focus: Vision Training in Minutes a Day,0.86,1.56,1.05,0.35,3.83,59,22,4,4,E
Tom Clancy's The Division,1.35,1.7,0.15,0.6,3.8,80,64,7,2219,M
Big Brain Academy: Wii Degree,1.05,1.91,0.41,0.42,3.79,68,33,6.9,39,E
Resident Evil Director's Cut,1.82,1.24,0.47,0.25,3.77,,,,,
Mario & Luigi: Bowser's Inside Story,2.23,0.47,0.81,0.26,3.77,,,,,
